date,StockID,close,变动日,信用等级
2020-01-02 14:43:00,SZ128076,113.0,20250609,AA-
2020-01-02 14:43:00,SZ128077,124.56,20200622,AA-
2020-01-02 14:43:00,SZ128078,136.79,20220607,AA
2020-01-02 14:43:00,SZ128079,127.669,20230628,A-
2020-01-02 14:43:00,SZ128080,119.771,20200521,AAA
2020-01-02 14:43:00,SZ128081,116.83,20250625,AA
2020-01-02 14:43:00,SZ128083,120.012,20240626,AA
2020-01-02 14:44:00,SH110031,126.0,20210525,AAA
2020-01-02 14:44:00,SH110033,116.85,20210521,AAA
2020-01-02 14:44:00,SH110034,108.91,20210625,AA+
2020-01-02 14:44:00,SH110038,108.81,20220606,AA
2020-01-02 14:44:00,SH110041,119.9,20210624,AAA
2020-01-02 14:44:00,SH110042,120.4,20200520,AAA
2020-01-02 14:44:00,SH110043,111.7,20230526,AA+
2020-01-02 14:44:00,SH110044,143.9,20231229,AA
2020-01-02 14:44:00,SH110045,102.55,20230601,AA+
2020-01-02 14:44:00,SH110047,123.51,20241024,AA
2020-01-02 14:44:00,SH110048,123.09,20240612,AA+
2020-01-02 14:44:00,SH110050,128.31,20190606,AA
2020-01-02 14:44:00,SH110051,111.35,20210804,AA+
2020-01-02 14:44:00,SH110052,119.6,20240626,AA+
2020-01-02 14:44:00,SH110053,118.95,20230619,AAA
2020-01-02 14:44:00,SH110055,115.0,20240620,AA
2020-01-02 14:44:00,SH110056,120.89,20220623,AA+
2020-01-02 14:44:00,SH110057,111.66,20230526,AAA
2020-01-02 14:44:00,SH110058,106.86,20240612,AA-
2020-01-02 14:44:00,SH110059,111.01,20250526,AAA
2020-01-02 14:44:00,SH110060,120.62,20250609,AA
2020-01-02 14:44:00,SH110061,122.36,20230619,AAA
2020-01-02 14:44:00,SH110062,127.51,20250625,AAA
2020-01-02 14:44:00,SH113008,116.38,20200515,AAA
2020-01-02 14:44:00,SH113009,117.21,20210524,AAA
2020-01-02 14:44:00,SH113011,126.7,20220523,AAA
2020-01-02 14:44:00,SH113012,106.9,20210610,AA
2020-01-02 14:44:00,SH113013,124.71,20230522,AAA
2020-01-02 14:44:00,SH113014,102.2,20210621,AA
2020-01-02 14:44:00,SH113016,99.9,20220805,AA-
2020-01-02 14:44:00,SH113017,102.4,20230621,AA+
2020-01-02 14:44:00,SH113019,130.75,20200605,AA+
2020-01-02 14:44:00,SH113020,128.23,20200608,AA+
2020-01-02 14:44:00,SH113021,114.26,20240513,AAA
2020-01-02 14:44:00,SH113022,119.96,20200514,AAA
2020-01-02 14:44:00,SH113024,107.31,20240620,AAA
2020-01-02 14:44:00,SH113025,116.82,20230619,AA
2020-01-02 14:44:00,SH113026,108.93,20210623,AAA
2020-01-02 14:44:00,SH113027,107.92,20230626,A
2020-01-02 14:44:00,SH113028,123.0,20200609,AAA
2020-01-02 14:44:00,SH113502,99.94,20220531,AA-
2020-01-02 14:44:00,SH113503,138.0,20190606,AA
2020-01-02 14:44:00,SH113504,118.02,20230613,AA
2020-01-02 14:44:00,SH113505,103.76,20230621,AA
2020-01-02 14:44:00,SH113508,109.26,20210617,AA
2020-01-02 14:44:00,SH113509,120.1,20210521,AA
2020-01-02 14:44:00,SH113511,123.0,20190614,AA-
2020-01-02 14:44:00,SH113514,110.94,20200616,A+
